Node,Max_RRC
C70FX,178
C70G02X,275
C70GA02X,360
C70GAX,539
C70GB02X,250
C70GBX,534
C70GX,443
C71AB02X,116
C71ABX,588
C71AX,831
C71B01X,274
C71D02X,388
C71DX,462
C72AA02X,45
C72AAX,400
C72AX,1081
C72GX,1104
C73AX,1204
C73C01XSC,146
C73C02XSC,155
C73CX,1597
C74A01X,532
C74CA02X,400
C74CAX,282
C74CX,455
C75AA02X,235
C75AAX,358
C75AB02X,216
C75ABX,1067
C75AX,1670
C75CAX,2524
C75CBX,2334
C75D02X,260
C75DAX,930
C75DBX,1172
C75DX,347
C76A02X,107
C76AAX,2352
C76AX,674
C76BX,226
C76M02X,378
C76MX,454
C77A02X,281
C77AX,961
C78EAX,565
C78EX,854
C78M02X,194
C78MX,862
C80A10X,174
C80A11X,260
C80A12X,120
C80A13X,107
C80A14X,149
C80AAX,2103
C80AX,1663
C81AAX,1118
C81AX,674
C82AX,1405
C83AAX,1345
C83AX,877
C84AAX,873
C84AX,519
C85AX,1445
C86AX,1270
C87A1X,806
C88AX,491
C89AX,1051
C90A02X,644
C90AX,464
C91AX,1180
C92AX,1442
C92M02X,196
C92M50XMA,871
C92MX,665
C93AX,1511
C94A02X,302
C94AX,384
C95A10X,322
C95A11X,274
C95A12X,185
C95A13X,230
C95A14X,243
C95AX,980
C96A10X,119
C96A11X,104
C96A12X,410
C96A13X,125
C96AX,851
C97A10X,114
C97A11X,195
C97A12X,183
C97AX,1252
C98AX,878
C99AX,1464
CA10X,129
CA11X,263
CA12X,146
CA13X,189
CA14X,123
CABAX,1452
CABB02X,239
CABBX,774
CABC01XSC,289
CABC02X,314
CABCX,1370
CABD02X,342
CABDX,388
CABX,1015
CAC01X,101
CACA02X,371
CACAX,591
CACMEX,131
CAD02X,95
CADX,730
CAEX,1531
CAFX,740
CAGA02X,400
CAGAX,710
CAGMX,689
CAGX,1014
CALX,204
CAWX,1871
CB0ANL01,372
CBA02X,194
CBAX,625
CBBA01X,76
CBBL01XMA,102
CBBM01XMA,114
CBBX,4298
CBCA02X,360
CBCAX,507
CBCB01X,841
CBCD01XMA,451
CBCX,1856
CBD02X,209
CBDO01XMA,70
CBDX,582
CBEX,402
CBF02X,270
CBFFX,37
CBFR02X,118
CBFRX,794
CBFX,173
CBGX,1333
CBI01X,298
CBKX,752
CBLI01XMA,1032
CBLM01X,214
CBLM02X,46
CBLSX,44
CBM02X,173
CBMA02X,266
CBMAX,389
CBMX,314
CBN02X,553
CBNX,502
CBOX,247
CBR02X,128
CBRNX,816
CBRS02X,114
CBRSX,474
CBRX,759
CBSX,150
CBU01X,95
CBU02X,61
CBUE01X,110
CBUE02X,30
CBWC01XMA,222
CBYS01X,2292
CCA02X,630
CCARX,336
CCAX,448
CCAY01X,200
CCB01XMA,1091
CCDX,176
CCE01X,111
CCFX,57
CCG01X,1399
CCHAX,104
CCHN01X,179
CCL01X,539
CCL01XSC,104
CCLIX,89
CCLKX,162
CCLL02X,728
CCLLX,464
CCM02X,618
CCMGX,114
CCMX,196
CCO01X,167
CCO02X,62
CCOUX,197
CCP01X,170
CCRA01X,151
CCRE02X,90
CCREX,464
CCROX,167
CCRX,268
CCSCX,113
CCST01XMA,826
CCST01XSC,47
CCT02X,260
CCTAX,281
CCTL01X,258
CCTX,241
CCWYX,122
CDAYX,146
CDB01X,217
CDBB01X,136
CDBNX,103
CDBTX,131
CDBWX,1287
CDEL01X,176
CDEX,117
CDH02X,66
CDHT02X,163
CDHTX,89
CDHX,118
CDR02X,194
CDRB01X,134
CDRX,113
CDWX,213
CEAAX,1060
CEASX,57
CEBA02X,407
CEBAX,2807
CEBB01X,1424
CEBX,1088
CECX,176
CED01XMA,510
CENTX,196
CEOT01XSC,155
CEOTX,609
CEOX,529
CERA01XMA,484
CERA02XMA,92
CERC02X,124
CERCX,541
CERE02X,253
CEREX,1784
CERF02X,132
CERFX,607
CERG02X,193
CERGX,1087
CERH02X,648
CERH03X,202
CERHX,1011
CERI02X,332
CERI03X,89
CERIX,495
CERJX,574
CERK02X,269
CERKX,365
CERL02X,97
CERLX,658
CERN01XMA,627
CERS02X,281
CERS03X,157
CERSX,562
CERV02X,388
CERV03X,134
CERVX,567
CERW02X,122
CERWX,742
CES02X,125
CESD02X,73
CESDX,214
CESL01X,476
CESL02X,128
CESP50XMA,124
CESX,110
CETH02X,170
CETHX,300
CETL01XMA,142
CEU02X,109
CEUX,450
CEVX,444
CF02X,54
CF03X,317
CFM01X,552
CFX,123
CGA02X,59
CGAX,84
CGFWX,71
CGL02X,74
CGLX,137
